model_family,split,rmse,mae,r2,n
Context-Aware Selective Learning,cal,1.5164875053950049,0.8806570768356323,0.24355727434158325,1302
Site-Hard Expert Selector,cal,1.543167680881682,0.9291371703147888,0.21670633554458618,1302
Deep Context LSTM (Always TL),cal,1.5552534290613789,0.9456417560577393,0.20438909530639648,1302
Deep Context LSTM (No TL),cal,1.5824390780517394,0.9612739682197571,0.17633163928985596,1302
Random Forest,cal,1.60137327316891,0.9775292200260021,0.15650301392626764,1302
Baseline LSTM (TL),cal,1.7511601689543288,1.1479140520095825,-0.008672356605529785,1302
Baseline LSTM (No TL),cal,1.7657565177614636,1.1602245569229126,-0.025557518005371094,1302
Site-Hard Expert Selector,test,2.0452394430169933,1.0171056985855103,0.2516123056411743,2034
Deep Context LSTM (Always TL),test,2.0519051514802986,1.0239311456680298,0.24672609567642212,2034
Context-Aware Selective Learning,test,2.0901791312371243,1.0252087116241455,0.21836256980895996,2034
Deep Context LSTM (No TL),test,2.1327852240414757,1.0383845567703247,0.18617206811904907,2034
Random Forest,test,2.212496896669064,1.0714898354358384,0.12420247811663443,2034
Baseline LSTM (No TL),test,2.3692919752768606,1.2417179346084595,-0.004327893257141113,2034
Baseline LSTM (TL),test,2.3697824890182577,1.2470816373825073,-0.004743814468383789,2034
Deep Context LSTM (No TL),val,1.3652458572450576,0.9108533263206482,0.19611728191375732,1703
Context-Aware Selective Learning,val,1.3704496430306905,0.9188309907913208,0.18997740745544434,1703
Deep Context LSTM (Always TL),val,1.3808728855448715,0.9314102530479431,0.17760896682739258,1703
Site-Hard Expert Selector,val,1.3822512592234735,0.9292119741439819,0.1759663224220276,1703
Random Forest,val,1.406906943193178,0.9504793196801635,0.14630706607503907,1703
Baseline LSTM (TL),val,1.5282054918929129,1.0677162408828735,-0.007243514060974121,1703
Baseline LSTM (No TL),val,1.5291337940864707,1.069728136062622,-0.008467555046081543,1703
